Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Peitho,8.98,0.86,41.7,32.908726,47.638835,7.747276,0.16404902,2.43824801
Althaea,8.44,0.89,57.3,171.411598,203.63342,5.787531,0.0816007,2.58109424
Lachesis,7.79,0.70,174.1,235.353388,341.170725,6.960883,0.05105635,3.12005836
Hermione,7.46,0.72,209.0,296.849989,72.878793,7.567294,0.12580696,3.45295483
Gerda,7.75,0.78,81.7,320.552941,178.088766,1.642173,0.02911241,3.22791046
Brunhild,8.92,0.85,48.0,125.251781,307.718688,6.413357,0.12098591,2.69451004
Alkeste,8.14,0.85,76.4,62.045068,187.911555,2.963777,0.07795023,2.62911245
Liberatrix,9.00,0.68,43.6,110.336958,168.96946,4.665766,0.07993983,2.74530555
Velleda,9.17,0.87,44.8,328.146813,23.240728,2.92359,0.10529476,2.43968358
Nemesis,7.75,0.68,188.2,302.991559,76.163758,6.245622,0.12811617,2.75048985
Antigone,7.03,0.72,125.0,110.73898,135.663611,12.27122,0.2129435,2.86697958
Elektra,7.30,0.75,182.3,237.693353,144.998536,22.778206,0.20958438,3.12646068
Vala,10.02,0.77,40.4,161.656355,65.559318,4.963174,0.06876455,2.43155525
Aethra,8.95,0.68,42.7,255.488615,258.14534,24.954407,0.38765313,2.61250643
Cyrene,8.14,0.92,66.6,290.292919,318.993547,7.214025,0.13438508,3.06241134
Sophrosyne,8.81,0.68,123.3,85.463067,345.860906,11.611986,0.11481809,2.56391368
Hertha,8.26,0.70,79.2,340.408532,343.558347,2.30378,0.20691005,2.42776955
Austria,9.76,0.74,40.1,132.649564,186.402844,9.580807,0.08447966,2.28713052
Meliboea,8.22,0.70,145.4,107.601233,202.172922,13.431496,0.21147416,3.12506537
Tolosa,8.86,0.88,45.5,260.622098,54.722381,3.202179,0.1619827,2.44964619
Juewa,8.05,0.70,156.6,166.318358,1.801253,10.901617,0.17131945,2.78941077
Siwa,8.50,0.72,109.8,197.039243,107.16754,3.185474,0.21401294,2.73317952
Lumen,8.45,0.66,131.0,57.739266,318.473187,11.897216,0.21354433,2.6663192
Polana,10.35,0.62,55.3,291.697311,291.209558,2.239141,0.13432935,2.41823441
Adria,9.17,0.74,89.9,252.073865,332.967486,11.44349,0.07328183,2.76114201
Vibilia,8.15,0.72,141.8,294.697687,76.17437,4.815029,0.23560859,2.65374387
Adeona,8.20,0.69,151.1,45.242796,77.328144,12.619579,0.14671014,2.67241151
Lucina,8.42,0.68,132.2,145.455669,83.930126,13.098563,0.0662154,2.71843482
Protogeneia,8.79,0.69,132.9,102.898965,248.232504,1.932448,0.02284323,3.13668018
Gallia,7.65,0.86,97.7,252.631769,145.001937,25.293916,0.18814477,2.7700627
Medusa,10.60,0.80,19.7,251.016997,159.59931,0.939866,0.06553514,2.17471527
Nuwa,8.53,0.71,151.1,153.909267,206.10429,2.202001,0.12374382,2.9844994
Abundantia,9.21,0.87,45.4,132.882787,38.737415,6.431719,0.03551016,2.59191546
Hilda,7.67,0.67,170.6,39.435663,228.090126,7.8288,0.13942522,3.97414956
Scylla,11.20,0.68,49.5,46.700738,40.548152,11.361755,0.27249934,2.7604135
Xanthippe,8.77,0.70,121.0,338.284703,241.813113,9.778962,0.22606297,2.72762055
Koronis,9.23,0.80,35.4,146.824343,277.668052,1.005077,0.05288298,2.8696313
Aemilia,8.35,0.69,125.0,332.734058,133.976979,6.113782,0.10135779,3.11369714
