Name,Absolute_magnitude,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
2008EF42,17.59,144.690772,72.373161,3.501351,0.08764689,2.23859679
2000FA5,15.70,305.795587,191.054594,9.15662,0.06443444,3.12647988
2002GT29,16.26,211.389145,156.229415,9.771917,0.17686302,2.75368181
2002NQ70,17.34,262.098082,116.918007,3.542593,0.25076232,2.28530341
2004BX114,16.57,193.952727,352.620178,11.531195,0.14290375,2.34140869
2005EQ170,15.18,26.403035,197.892677,20.271495,0.13740874,3.20934074
2010CY18,16.25,167.783945,330.25755,5.268857,0.05096404,2.61198105
2005VR46,15.78,7.782388,90.6009,10.248968,0.1067485,3.08122416
2005WX147,16.43,169.766062,54.160464,4.368046,0.13322467,2.74961586
2006UG184,16.79,6.026232,336.411671,5.997916,0.24943096,2.32792913
2009SP118,16.65,188.85635,277.793275,2.538987,0.1781928,3.0870454
2010VV172,13.73,310.461965,76.653943,5.850261,0.04942525,5.13041801
2002PA107,15.49,210.757414,253.069621,9.267029,0.01524605,3.12731168
2004ED90,17.43,322.949119,156.287862,6.058025,0.10059678,2.24018701
2005NQ60,16.74,216.225825,123.085144,8.087835,0.15908955,2.26765769
2005VQ50,17.20,261.954794,153.710883,7.534108,0.10672337,2.40734151
2007KE2,16.20,180.860359,118.786056,13.96604,0.23644174,2.54562357
2009SF356,16.82,185.267104,58.938663,7.255067,0.06558607,2.39257641
2008UL303,16.36,107.440803,256.898422,5.280127,0.08896119,2.73213322
2008UU310,16.51,310.34332,291.723811,5.899238,0.14773773,2.54468313
2006HF13,16.26,144.233212,184.67885,10.944321,0.18294487,2.75127442
2011FU147,16.01,299.390997,187.757775,17.756783,0.14175061,2.9082529
2011HR28,17.38,157.438814,89.081562,6.683416,0.0823448,2.33406342
2004RZ12,17.43,211.198352,138.51641,6.262891,0.17256799,2.32612047
2003AJ84,15.39,43.354227,147.833106,27.951059,0.14041844,3.15544169
2003QB120,16.05,110.388721,254.868733,7.724305,0.06310703,3.01402135
2003WW8,15.42,13.353813,26.952188,13.811679,0.15020677,3.19094023
2004CJ17,15.71,221.55094,30.260326,8.066047,0.05259149,3.16623963
2004QE,17.86,253.610236,137.749954,0.928857,0.1748996,2.25589271
2005TA25,17.69,7.613158,48.460749,1.528502,0.05947926,2.22827852
2005WB42,16.67,103.852323,50.401533,2.66226,0.10079746,3.0736856
2006PC29,16.98,213.016753,114.367348,7.06944,0.21170849,2.24793409
2006SG321,17.19,76.298438,139.304853,4.445083,0.17664902,2.42804507
2006US83,17.14,346.22121,270.59862,4.567074,0.11529243,2.4566997
2006VG73,16.68,120.754547,238.153449,3.127759,0.35105744,2.59482249
2007LK33,16.11,68.954593,192.253524,24.99055,0.24003436,3.1504038
2008JO7,13.23,145.17115,178.703736,18.729111,0.03086146,5.20466961
2008JT8,16.19,211.915525,58.386784,10.17455,0.01829252,2.60665299
2008PC4,16.83,333.121028,294.4591,6.874641,0.11206028,2.28314028
2009QD55,15.78,195.698973,176.824752,9.538483,0.08116378,3.16842657
2005EE266,17.13,96.869912,343.332823,3.315296,0.13073853,2.53748247
2006SF275,16.10,185.685883,189.045495,8.719391,0.07424184,3.12746492
1999VV187,15.21,43.490737,60.355535,21.864293,0.1950275,3.18928898
2002RX92,16.83,13.912541,359.162274,4.624336,0.19504865,2.67345252
2003GU56,16.22,95.228143,45.598958,10.006201,0.04496012,3.13545043
2004FN63,16.46,119.413065,24.245927,13.405686,0.14621657,2.72245668
2004HZ63,15.77,65.851497,210.40098,26.403688,0.18450733,3.12305078
2006BW10,17.12,106.068187,122.4009,2.951295,0.16005551,2.3371549
2006XE38,16.05,331.151168,91.311451,6.927054,0.12481751,3.0843339
2007RQ271,16.89,9.904484,42.696048,4.388962,0.14886726,2.5508788
2007VU135,16.93,292.730593,156.401252,6.631127,0.16451925,2.62791143
2008CS11,16.46,318.392414,122.41329,7.111493,0.05986538,2.86389531
2009FM73,16.88,189.235512,59.175988,4.222873,0.05326627,2.68375553
2011SV106,15.55,83.320803,282.236126,7.210791,0.09558486,3.14107236
2006SY142,16.77,346.586819,240.918328,2.93573,0.01868012,2.64710134
2007RF245,17.84,343.557341,84.722708,3.439155,0.17960051,2.34246662
2007TN156,17.23,36.636681,10.665125,12.72085,0.08120908,2.31134119
1999VO62,17.33,346.731336,57.229224,2.217197,0.18652424,2.4360344
2002UN55,17.05,150.405717,112.305059,6.960643,0.10254109,2.46366193
2006QM106,17.18,1.933646,272.4033,1.750203,0.18799937,2.40092258
2007DH43,15.80,278.951299,317.142945,8.668046,0.06705289,3.1591644
2007ET19,16.07,152.357608,161.306974,11.256692,0.06645778,3.1160339
2001FY180,15.60,177.551415,11.321163,17.679152,0.16625969,3.15414578
2002CY166,16.82,176.422467,37.412624,4.130948,0.17140556,2.5844239
2002XE74,16.40,334.83791,44.64231,5.099925,0.24066201,2.55035248
2003UO39,17.56,279.142315,201.045704,3.364402,0.15258325,2.58266345
2004GW77,16.24,193.034103,134.467573,17.747588,0.22920673,2.43843239
2006BA206,17.32,210.028908,147.685078,6.204377,0.20502715,2.45978203
2010EF84,16.01,194.67166,154.027091,3.573856,0.17100166,3.18159732
1998SG97,16.02,196.562016,167.036877,6.510464,0.23109077,3.14521708
2001UU136,16.76,116.348402,282.201796,3.846247,0.1121901,2.6348955
2005GR119,17.03,181.883859,63.93435,23.977229,0.20600706,2.3061017
2006BC265,16.71,66.932041,150.325689,6.11674,0.08816627,3.12723059
2008BL28,17.98,104.028106,120.1134,3.027479,0.15714541,2.36403366
2008CP91,17.18,7.709264,152.465865,6.292654,0.04064212,2.5510213
2009RN11,16.29,129.591183,189.978493,5.048049,0.15850011,3.10504505
2007DW36,16.59,346.76241,166.948065,15.935301,0.18129673,3.01001284
2000SJ19,16.29,138.756138,239.607862,11.984304,0.11999198,2.66675719
2005NS13,17.35,218.539053,154.750079,7.950736,0.19095526,2.46959627
2006SE203,17.95,241.403433,179.922773,5.547669,0.12102636,2.26971761
2011EN8,17.07,283.832421,110.351957,3.681134,0.19262637,2.71397813
2011GC32,15.90,302.802307,225.010665,8.552974,0.13139065,3.00471597
2003SL191,16.05,110.665724,218.738638,10.910462,0.12698486,2.87107587
2001TO150,17.22,295.104925,73.319641,4.187016,0.22289838,2.42910258
2007ER96,15.77,283.148356,14.996997,11.848008,0.13747172,3.04444762
2001YN33,17.13,288.412418,67.356276,16.065315,0.22481473,2.61997906
2004TB285,16.86,108.27652,303.345616,12.086267,0.26227345,2.59517573
2001VT75,17.80,82.054288,265.77704,0.458562,0.19780863,2.40334001
2003UZ148,17.05,252.605236,124.600397,4.709294,0.22097049,2.74972442
2005UX160,17.68,291.14774,69.822542,4.550553,0.2641897,2.33355266
2007VY329,16.29,121.253018,289.689509,13.20238,0.28764502,3.05182135
2008SK211,17.05,131.163841,208.657362,13.26375,0.18196144,2.58322326
2008YZ151,15.70,228.275612,134.812808,10.307428,0.08939907,3.06527578
2001XQ169,17.53,287.564171,138.506076,2.887524,0.1716716,2.38356945
2003FY7,17.54,303.070407,172.424681,23.930036,0.04749032,1.90784873
2004GQ12,17.29,188.776875,67.244033,7.494943,0.1289305,2.25572555
2005DT1,16.96,61.031888,45.974482,13.772319,0.22755134,2.59488378
2008TP7,17.59,285.750398,23.712223,6.56957,0.13067338,2.36918286
2002JS17,17.33,228.673985,22.16163,2.085889,0.1806271,2.39741632
2012TD256,16.54,3.389381,64.776516,7.018301,0.10286337,2.78645807
2001QJ200,17.31,242.165248,212.001626,21.594455,0.07027316,1.91529898
2002CM11,17.79,324.04013,177.653878,3.484927,0.1562789,2.39740399
2002FS37,17.00,124.604262,130.219778,11.355124,0.27911836,2.45889337
2003SK299,16.94,116.27619,295.353902,10.6065,0.29394454,2.64597844
2006YM52,15.85,120.184068,112.389655,19.267861,0.20954005,3.06665593
2008CX27,16.65,242.438089,334.680256,14.355701,0.09798524,2.8656802
